input,status,message,lambda_max,governing_joint,Rx,Ry,M0,N_min,N_max,M_min,M_max,report,plot,interaction_plot,shear_plot
klenba01_1_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.985839832122338,25,125.09473702056648,43.32368227280664,0.042314031680254605,125.10580844510727,132.66761984314738,-0.042314031680254605,0.44737552152800575,arch_lbt_outputs\klenba01_1_lbt.txt,arch_lbt_outputs\klenba01_1_lbt_arch.png,arch_lbt_outputs\klenba01_1_lbt_interaction.png,arch_lbt_outputs\klenba01_1_lbt_shear.png
klenba01_2_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.200116328185502,7,95.87540260984578,40.57774681229085,1.5927409725598343,95.77484166583734,103.83801586444116,-1.8508824069788012,1.8410819945359793,arch_lbt_outputs\klenba01_2_lbt.txt,arch_lbt_outputs\klenba01_2_lbt_arch.png,arch_lbt_outputs\klenba01_2_lbt_interaction.png,arch_lbt_outputs\klenba01_2_lbt_shear.png
klenba01_3_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.5327312889762785,8,99.43476409278341,35.964943175475156,1.5173745212273935,99.34400778614554,105.7203315177755,-1.7296376581139832,1.7310683402413867,arch_lbt_outputs\klenba01_3_lbt.txt,arch_lbt_outputs\klenba01_3_lbt_arch.png,arch_lbt_outputs\klenba01_3_lbt_interaction.png,arch_lbt_outputs\klenba01_3_lbt_shear.png
klenba02_1_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0289649419638298,10,431.24999974829717,193.6148964224689,123.9843749969848,431.24999974829717,431.24999974829717,-123.9843749969848,5.390624993707718,arch_lbt_outputs\klenba02_1_lbt.txt,arch_lbt_outputs\klenba02_1_lbt_arch.png,arch_lbt_outputs\klenba02_1_lbt_interaction.png,arch_lbt_outputs\klenba02_1_lbt_shear.png
klenba02_2_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.1053483316197257,0,368.9583333333335,192.5218824402514,114.91514756944443,368.9583333333335,368.9583333333335,-114.91514756944443,14.47130177440916,arch_lbt_outputs\klenba02_2_lbt.txt,arch_lbt_outputs\klenba02_2_lbt_arch.png,arch_lbt_outputs\klenba02_2_lbt_interaction.png,arch_lbt_outputs\klenba02_2_lbt_shear.png
klenba02_3_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.1572096479789773,0,368.9583333333335,171.49884893044583,114.91514756944443,368.9583333333335,368.9583333333335,-114.91514756944443,14.47130177440916,arch_lbt_outputs\klenba02_3_lbt.txt,arch_lbt_outputs\klenba02_3_lbt_arch.png,arch_lbt_outputs\klenba02_3_lbt_interaction.png,arch_lbt_outputs\klenba02_3_lbt_shear.png
klenba_1_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),22.68550971863038,6,70.67687173386207,30.52384397266861,1.5866764936747466,70.3764579215527,76.7436646906055,-2.315834297744388,2.3122015392699917,arch_lbt_outputs\klenba_1_lbt.txt,arch_lbt_outputs\klenba_1_lbt_arch.png,arch_lbt_outputs\klenba_1_lbt_interaction.png,arch_lbt_outputs\klenba_1_lbt_shear.png
klenba_2_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),20.475371059284473,25,86.92892473621036,34.0765683285541,1.9493262818678643,86.86941926092436,93.2733747897307,-2.0864169736412386,2.0929853285725146,arch_lbt_outputs\klenba_2_lbt.txt,arch_lbt_outputs\klenba_2_lbt_arch.png,arch_lbt_outputs\klenba_2_lbt_interaction.png,arch_lbt_outputs\klenba_2_lbt_shear.png
klenba_3_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),19.897978557663567,20,105.64686683341765,36.86068239315217,1.2422249462184762,105.63945710558666,111.88955378709046,-1.4313375513164246,1.508076980514807,arch_lbt_outputs\klenba_3_lbt.txt,arch_lbt_outputs\klenba_3_lbt_arch.png,arch_lbt_outputs\klenba_3_lbt_interaction.png,arch_lbt_outputs\klenba_3_lbt_shear.png
klenba_4_lbt.in,OK,Optimization terminated successfully. (HiGHS Status 7: Optimal),19.23116071186009,19,95.68155952462047,39.32661593922513,1.6158470352997014,95.65523718971157,103.25119522342867,-1.835008345116428,1.856217853987446,arch_lbt_outputs\klenba_4_lbt.txt,arch_lbt_outputs\klenba_4_lbt_arch.png,arch_lbt_outputs\klenba_4_lbt_interaction.png,arch_lbt_outputs\klenba_4_lbt_shear.png
