base,success,status,message,result_blocks,lambda_expected,lambda_linprog,lambda_diff,active_expected,active_linprog,active_match,max_mechanism_diff
zlamal0\zlamal0_1,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,9.158882,9.158861533116763,-2.0466883237091338e-05,1 16 51 82,1 16 51 82,True,7.125326812129629e-06
zlamal0\zlamal0_10,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,5.447847,5.439200314159321,-0.00864668584067907,2 29 60 79,2 27 60 79,False,5.923372
zlamal0\zlamal0_11,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,7.309733,7.30216312424421,-0.007569875755789823,2 31 66 81,2 29 66 81,False,6.006729
zlamal0\zlamal0_12,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,21.375492,21.332034249829388,-0.04345775017061371,2 33 74 81,2 31 72 81,False,19.946556
zlamal0\zlamal0_2,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,5.897029,5.89710271009787,7.371009786982796e-05,1 22 53 82,1 22 53 82,True,5.262310263987047e-06
zlamal0\zlamal0_3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,4.667103,4.66707296638983,-3.0033610170399072e-05,5 26 55 82,5 26 55 82,True,5.979723252780289e-06
zlamal0\zlamal0_4,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,4.681918,4.681886821870703,-3.1178129296982604e-05,9 32 57 82,9 32 57 82,True,2.794149618345898e-05
zlamal0\zlamal0_5,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,5.138506,5.138409849260174,-9.615073982516265e-05,15 36 59 82,15 36 59 82,True,2.0285140058362572e-05
zlamal0\zlamal0_6,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,8.101,8.100994878058456,-5.1219415446723815e-06,19 42 61 82,19 42 61 82,True,5.232278722466788e-05
zlamal0\zlamal0_7,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,5.456656,5.456828270814815,0.00017227081481507867,2 23 46 65,2 23 46 65,True,7.266063631305997e-05
zlamal0\zlamal0_8,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,4.898006,4.89778921601827,-0.00021678398172930713,2 25 50 71,2 25 50 71,True,0.0001973942034894094
zlamal0\zlamal0_9,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,4.474189,4.474188407431896,-5.925681039187225e-07,2 27 56 75,2 27 56 75,True,2.68911425953533e-05
zlamal1\zlamal1_1,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,8.765233,8.765270737607233,3.773760723291275e-05,1 16 51 82,1 16 51 82,True,7.451645569922505e-06
zlamal1\zlamal1_10,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,5.252211,5.239621961913372,-0.012589038086628257,2 29 60 79,2 27 60 79,False,5.825525
zlamal1\zlamal1_11,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,7.026725,7.026875966349124,0.0001509663491239266,2 29 66 81,2 29 66 81,True,0.0001111214605069577
zlamal1\zlamal1_12,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),5,17.692764,17.693181636918684,0.0004176369186836837,2 33 74 81,2 33 74 81,True,0.00028778248947247675
