relative_name,d_code,d_sigma,blocks,force_count,geom_code,q_code,k_code,icase,lambda,output
zlamal0\zlamal0.in,0,7000.0,40,1,1,0,0,0,4.720544,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0.out
zlamal0\zlamal0_1.in,0,7000.0,40,1,1,0,0,0,9.158882,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_1.out
zlamal0\zlamal0_10.in,0,7000.0,40,1,1,0,0,0,5.447847,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_10out
zlamal0\zlamal0_11.in,0,7000.0,40,1,1,0,0,0,7.309733,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_11out
zlamal0\zlamal0_12.in,0,7000.0,40,1,1,0,0,0,21.375492,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_12out
zlamal0\zlamal0_2.in,0,7000.0,40,1,1,0,0,0,5.897029,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_2.out
zlamal0\zlamal0_3.in,0,7000.0,40,1,1,0,0,0,4.667103,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_3.out
zlamal0\zlamal0_4.in,0,7000.0,40,1,1,0,0,0,4.681918,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_4.out
zlamal0\zlamal0_5.in,0,7000.0,40,1,1,0,0,0,5.138506,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_5.out
zlamal0\zlamal0_6.in,0,7000.0,40,1,1,0,0,0,8.101,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_6.out
zlamal0\zlamal0_7.in,0,7000.0,40,1,1,0,0,0,5.456656,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_7.out
zlamal0\zlamal0_8.in,0,7000.0,40,1,1,0,0,0,4.898006,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_8.out
zlamal0\zlamal0_9.in,0,7000.0,40,1,1,0,0,0,4.474189,D:\Documents\2026\MASARCH2026\masarch\zlamal0\zlamal0_9.out
zlamal0.in,0,7000.0,40,1,1,0,0,0,4.720544,D:\Documents\2026\MASARCH2026\masarch\zlamal0.out
zlamal1\zlamal1.in,1,2000.0,40,1,1,0,0,0,4.720544,D:\Documents\2026\MASARCH2026\masarch\zlamal1\zlamal1.out
zlamal1\zlamal1_1.in,1,2000.0,40,1,1,0,0,0,9.158882,D:\Documents\2026\MASARCH2026\masarch\zlamal1\zlamal1_1.out
zlamal1\zlamal1_10.in,1,2000.0,40,1,1,0,0,0,5.447847,D:\Documents\2026\MASARCH2026\masarch\zlamal1\zlamal1_10out
